epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,846.633,2.56469,4.76376,2.18278,0.01063,0.59309,0.10184,0.03384,2.22856,4.35037,1.71138,0.000164502,0.000164502,0.000164502
2,1711.27,2.08648,3.25518,1.70199,0.63771,0.4535,0.53312,0.22895,1.91262,2.65522,1.59569,0.000314776,0.000314776,0.000314776
3,2517.48,1.92176,2.40023,1.59335,0.55087,0.66615,0.68755,0.31107,1.88242,2.40809,1.6626,0.00044855,0.00044855,0.00044855
4,3134.78,1.8677,2.00842,1.54109,0.78627,0.75428,0.82399,0.3922,1.78982,1.79133,1.50741,0.00042575,0.00042575,0.00042575
5,3829.85,1.79027,1.79045,1.48723,0.75009,0.77172,0.81339,0.39926,1.78981,1.74707,1.54888,0.000401,0.000401,0.000401
6,4522.98,1.75054,1.63853,1.47027,0.82858,0.84704,0.87326,0.44499,1.67975,1.45915,1.46466,0.00037625,0.00037625,0.00037625
7,5173.96,1.70576,1.5336,1.42494,0.78763,0.85214,0.86232,0.44805,1.64532,1.38757,1.43082,0.0003515,0.0003515,0.0003515
8,5801.32,1.67406,1.44555,1.40545,0.82742,0.8508,0.87828,0.45956,1.63109,1.31946,1.42119,0.00032675,0.00032675,0.00032675
9,6429.74,1.65147,1.40288,1.39351,0.83537,0.88765,0.88843,0.47228,1.62064,1.22735,1.42342,0.000302,0.000302,0.000302
10,7059.95,1.64982,1.35033,1.39088,0.84437,0.87442,0.88236,0.47355,1.60688,1.18996,1.41902,0.00027725,0.00027725,0.00027725
11,7766.92,1.60241,1.26259,1.42019,0.83838,0.89117,0.89802,0.48057,1.57348,1.15996,1.40376,0.0002525,0.0002525,0.0002525
12,8373.6,1.55096,1.18405,1.37435,0.87019,0.89591,0.90236,0.48654,1.56823,1.09402,1.37891,0.00022775,0.00022775,0.00022775
13,8975.85,1.52616,1.12981,1.35647,0.85592,0.89889,0.90072,0.49759,1.55154,1.0664,1.38232,0.000203,0.000203,0.000203
14,9576.25,1.51638,1.08091,1.36171,0.9002,0.87247,0.91303,0.50919,1.52803,1.04832,1.35931,0.00017825,0.00017825,0.00017825
15,10175.6,1.49322,1.04445,1.33866,0.85225,0.88654,0.89643,0.50137,1.53946,1.01519,1.36277,0.0001535,0.0001535,0.0001535
16,10769.7,1.47535,1.03451,1.32423,0.85273,0.88882,0.90041,0.50258,1.52452,1.01021,1.35487,0.00012875,0.00012875,0.00012875
17,11365.3,1.44655,1.00601,1.3137,0.86259,0.90057,0.90944,0.51904,1.50474,0.97205,1.35091,0.000104,0.000104,0.000104
18,12051.6,1.44519,0.99006,1.30652,0.86296,0.90921,0.91409,0.5212,1.49599,0.95169,1.33391,7.925e-05,7.925e-05,7.925e-05
19,12651,1.42246,0.9614,1.29749,0.894,0.89889,0.9189,0.52404,1.49022,0.93992,1.33277,5.45e-05,5.45e-05,5.45e-05
20,13225.2,1.40552,0.94102,1.28391,0.87614,0.91286,0.91432,0.52645,1.47546,0.93218,1.32228,2.975e-05,2.975e-05,2.975e-05
